64 simple false 20265588.240287
64 simple false 20265588.240287
32 simple true 9607479.691211
32 simple true 9607479.691211
32 simple true 9607479.691211
32 simple true 9607479.691211
32 simple true 9861115.855289
32 simple true 9861115.855289
32 example true 9861115.855289
64 example false 20265588.240287
32 example true 9861115.855289
64 example false 20265588.240287
64 example false 20265588.240287
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 9861115.855289
32 example true 7217786.343003
32 example true 7217786.343003
32 example true 7217786.343003
32 example true 7217786.343003
32 example true 7217786.343003
32 example true 7217786.343003
32 example true 7217786.343003
32 example true 7217786.343003
32 example true 7217786.343003
32 example true 7217786.343003
32 example true 7217786.343003
32 example true 7217786.343003
32 example true 7217786.343003
32 distributed true 7217786.343003
10 example true 2139457.868930
9 example true 1247586.901188
6 example true 1193586.901188
32 example true 7217786.343003
10 example true 2400232.950093
10 example true 2400232.950093
32 example true 7217786.343003
32 example true 2359523.093122
32 example true 1810430.936024
20 example true 1447140.613443
10 hierarchical true 2359080.903772
10 hierarchical true 2499846.195589
10 hierarchical true 2499846.195589
20 hierarchical true 1480140.613443
20 hierarchical true 1480140.613443
20 hierarchical true 1480140.613443
10 hierarchical true 1100669.223535
10 centralized Entropy2RP true 1065669.223535
10 example true 3226604.580467
10 example true 3226604.580467
10 example true 3226604.580467
32 example true 7217786.343003
